央视台,#genre#
Yunnan Satellite TV,http://223.110.245.173/PLTV/4/224/3221225838/index.m3u8
Yunnan Satellite TV,https://h5cul1yar48um3t.wcetv.com/hls/yunnantv.m3u8
Zhejiang Satellite TV,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
Zhejiang Satellite TV,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
Zhejiang Satellite TV,http://112.25.48.68/live/program/live/zjwshd/4000000/mnf.m3u8
Zhejiang Satellite TV,http://183.207.248.71/cntv/live1/HD-2500k-1080P-zhejiangstv/HD-2500k-1080P-zhejiangstv
Zhejiang Satellite TV,http://183.207.248.71/cntv/live1/zhejiangstv/zhejiangstv
Zhejiang Satellite TV,http://183.207.249.34/PLTV/4/224/3221227393/index.m3u8
Zhejiang Satellite TV,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8
Zhejiang Satellite TV,http://223.110.245.143/ott.js.chinamobile.com/PLTV/3/224/3221227483/index.m3u8
Zhejiang Satellite TV,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221227393/index.m3u8
Zhejiang Satellite TV,http://223.110.254.210:6610/cntv/live1/zhejiangstv/zhejiangstv/1.m3u8
Zhejiang Satellite TV,http://183.207.248.71/gitv/live1/G_ZHEJIANG/G_ZHEJIANG
地方台,#genre#
Ando TV,http://play.kankanlive.com/live/1711956137852982.m3u8
Anhui TV,https://restream.pdtvhd.com/memfs/c1cd2ed0-3b2b-4c25-af98-a7fb0b1eb130.m3u8
Anshun Comprehensive News Channel,https://hplayer1.juyun.tv/camera/154379194.m3u8
BRTV Kaku Childrens Channel,http://223.111.191.105/downflv.brtvcloud.com/kkkkasd/winfr.m3u8
Baicheng TV,https://stream2.jlntv.cn/baicheng1/sd/live.m3u8
Bread TV,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
CETV-1,http://117.161.133.51:81/gitv_live/G_CETV-1/G_CETV-1.m3u8?p=GITV
CETV-2,http://117.161.133.51:81/gitv_live/G_CETV-2/G_CETV-2.m3u8?p=GITV
CGTN,https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
CGTN,https://english-livebkali.cgtn.com/live/encgtn.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN,http://223.110.245.149/ott.js.chinamobile.com/PLTV/3/224/3221225917/index.m3u8
CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CGTN,https://streams.comclark.com/pknsd/cgtn/playlist.m3u8
CGTN,https://dash4.antik.sk/live/test_cgtn/playlist.m3u8
